Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.979400086720376,n_x_0+n_x_2,n_p_0+n_p_5-n_p_6,375,"[4, 5, 6, 7, 9]","[1, 2, 3, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_2,n_p_0+n_p_5-n_p_8,371,"[3, 5, 6, 7, 9]","[1, 2, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0+n_x_1,n_p_6+n_p_7+n_p_20,383,"[8, 9]","[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_6,n_p_0-n_p_3-n_p_8,387,"[3, 8, 9]","[1, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_8,n_p_2-n_p_5+n_p_10,384,"[1, 8, 9]","[2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_8,405,"[2, 3, 5, 8, 9]","[1, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,406,"[1, 2, 3, 5, 8, 9]","[4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_4,n_p_2+n_p_10+n_p_12,385,"[2, 8, 9]","[1, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,402,"[1, 2, 5, 8, 9]","[3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_8,n_p_0-n_p_2-n_p_12,389,"[2, 3, 8, 9]","[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,410,"[1, 2, 4, 5, 8, 9]","[3, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0,n_p_0-n_p_2+n_p_4-n_p_19,388,"[1, 3, 8, 9]","[2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,412,"[1, 3, 4, 5, 8, 9]","[2, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,413,"[2, 3, 4, 5, 8, 9]","[1, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,414,"[1, 2, 3, 4, 5, 8, 9]","[6, 7, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0-n_x_6,n_p_0-n_p_3+n_p_7,391,"[4, 8, 9]","[1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_6,n_p_0-n_p_1-n_p_3,395,"[3, 4, 8, 9]","[1, 2, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_2+n_p_5,392,"[1, 4, 8, 9]","[2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0-n_p_2+n_p_6-n_p_8,397,"[2, 3, 4, 8, 9]","[1, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0-n_p_2+n_p_4+n_p_6,396,"[1, 3, 4, 8, 9]","[2, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_2,n_p_0-n_p_3+n_p_19,393,"[2, 4, 8, 9]","[1, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_8,421,"[2, 3, 6, 8, 9]","[1, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,422,"[1, 2, 3, 6, 8, 9]","[4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_5+n_p_7-n_p_8,399,"[5, 8, 9]","[1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0+n_p_4+n_p_7,400,"[1, 5, 8, 9]","[2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,418,"[1, 2, 6, 8, 9]","[3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,426,"[1, 2, 4, 6, 8, 9]","[3, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0+n_p_7-n_p_8,401,"[2, 5, 8, 9]","[1, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,428,"[1, 3, 4, 6, 8, 9]","[2, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,429,"[2, 3, 4, 6, 8, 9]","[1, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,430,"[1, 2, 3, 4, 6, 8, 9]","[5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_2,n_p_0+n_p_7-n_p_8,403,"[3, 5, 8, 9]","[1, 2, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_2+n_p_5,408,"[1, 4, 5, 8, 9]","[2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_19,n_p_0-n_p_2+n_p_7,409,"[2, 4, 5, 8, 9]","[1, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,434,"[1, 2, 5, 6, 8, 9]","[3, 4, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0+n_p_4+n_p_7-n_p_19,404,"[1, 3, 5, 8, 9]","[2, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,436,"[1, 3, 5, 6, 8, 9]","[2, 4, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,437,"[2, 3, 5, 6, 8, 9]","[1, 4, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,438,"[1, 2, 3, 5, 6, 8, 9]","[4, 7, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_0+n_p_5+n_p_7,407,"[4, 5, 8, 9]","[1, 2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
