Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.590219426,n_x_0+n_x_5,n_p_8+n_p_2,16773,"[2, 3, 8, 9, 15]","[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.9120662601306924,n_x_6-n_x_2-n_x_5+n_x_10,n_p_1+n_p_8-n_p_17+n_p_0,16684,"[1, 3, 4, 6, 9, 15]","[2, 5, 7, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,16776,"[1, 4, 8, 9, 15]","[2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_6+n_x_5,n_p_2+n_p_8,16777,"[2, 4, 8, 9, 15]","[1, 3, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_2-n_p_0,16778,"[1, 2, 4, 8, 9, 15]","[3, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_6,n_p_0+n_p_7,16780,"[1, 3, 4, 8, 9, 15]","[2, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_6,n_p_0+n_p_7,16781,"[2, 3, 4, 8, 9, 15]","[1, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_7,n_p_6+n_p_0,16779,"[3, 4, 8, 9, 15]","[1, 2, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_5,n_p_7+n_p_1,16783,"[5, 8, 9, 15]","[1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_2,n_p_0-n_p_5,16782,"[1, 2, 3, 4, 8, 9, 15]","[5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_5,n_p_7+n_p_1,16784,"[1, 5, 8, 9, 15]","[2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_5,n_p_7+n_p_1,16785,"[2, 5, 8, 9, 15]","[1, 3, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_7+n_p_0,16786,"[1, 2, 5, 8, 9, 15]","[3, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_2,n_p_7-n_p_8,16787,"[3, 5, 8, 9, 15]","[1, 2, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_2,n_p_7-n_p_8,16788,"[1, 3, 5, 8, 9, 15]","[2, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_1,n_p_7-n_p_8,16789,"[2, 3, 5, 8, 9, 15]","[1, 4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0+n_p_7,16790,"[1, 2, 3, 5, 8, 9, 15]","[4, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_4,n_p_7+n_p_0,16792,"[1, 4, 5, 8, 9, 15]","[2, 3, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_19,n_p_7+n_p_0,16793,"[2, 4, 5, 8, 9, 15]","[1, 3, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0+n_p_7,16794,"[1, 2, 4, 5, 8, 9, 15]","[3, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_6,n_p_7+n_p_0,16795,"[3, 4, 5, 8, 9, 15]","[1, 2, 6, 7, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0+n_x_4,n_p_0+n_p_7,16796,"[1, 3, 4, 5, 8, 9, 15]","[2, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_5,n_p_0+n_p_7,16797,"[2, 3, 4, 5, 8, 9, 15]","[1, 6, 7, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16798,"[1, 2, 3, 4, 5, 8, 9, 15]","[6, 7, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_6-n_x_5,n_p_1+n_p_7,16799,"[6, 8, 9, 15]","[1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_6-n_x_5,n_p_1+n_p_7,16800,"[1, 6, 8, 9, 15]","[2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 16]"
