Squeezing [dB],Operators,Bipartition ID,Bipartition 1,Bipartition 2
2.041199826559248,"('n_x_0', 'n_p_0')",622,"[1, 2, 3, 4, 6, 7, 10]","[5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_1', 'n_p_0-n_p_7+n_p_8')",608,"[1, 6, 7, 10]","[2, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",624,"[1, 5, 6, 7, 10]","[2, 3, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",625,"[2, 5, 6, 7, 10]","[1, 3, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",626,"[1, 2, 5, 6, 7, 10]","[3, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_12')",627,"[3, 5, 6, 7, 10]","[1, 2, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",628,"[1, 3, 5, 6, 7, 10]","[2, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",629,"[2, 3, 5, 6, 7, 10]","[1, 4, 8, 9, 11, 12, 13, 14, 15, 16]"
2.041199826559248,"('n_x_0', 'n_p_0')",630,"[1, 2, 3, 5, 6, 7, 10]","[4, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_8')",631,"[4, 5, 6, 7, 10]","[1, 2, 3, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",632,"[1, 4, 5, 6, 7, 10]","[2, 3, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",633,"[2, 4, 5, 6, 7, 10]","[1, 3, 8, 9, 11, 12, 13, 14, 15, 16]"
2.041199826559248,"('n_x_0', 'n_p_0')",634,"[1, 2, 4, 5, 6, 7, 10]","[3, 8, 9, 11, 12, 13, 14, 15, 16]"
