Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
2.041199827,n_x_0,n_p_0,247,"[4, 5, 6, 7, 8]","[1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,248,"[1, 4, 5, 6, 7, 8]","[2, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,249,"[2, 4, 5, 6, 7, 8]","[1, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,250,"[1, 2, 4, 5, 6, 7, 8]","[3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,251,"[3, 4, 5, 6, 7, 8]","[1, 2, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,252,"[1, 3, 4, 5, 6, 7, 8]","[2, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,253,"[2, 3, 4, 5, 6, 7, 8]","[1, 9, 10, 11, 12, 13, 14, 15, 16]"
0,n_x_0,n_p_0,254,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0-n_x_1+n_x_8+n_x_25+n_x_4,n_p_0+n_p_6+n_p_19,7,[4],"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,256,"[1, 9]","[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2+n_p_8,257,"[2, 9]","[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_6,n_p_2-n_p_0,258,"[1, 2, 9]","[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0+n_x_2-n_x_7+n_x_22+n_x_3,n_p_0-n_p_6+n_p_20,31,[6],"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,260,"[1, 3, 9]","[2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_5,n_p_8+n_p_2,261,"[2, 3, 9]","[1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_5,n_p_2+n_p_8,262,"[1, 2, 3, 9]","[4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0-n_x_2-n_x_4-n_x_8-n_x_25,n_p_0-n_p_6+n_p_19,1,[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,264,"[1, 4, 9]","[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6+n_x_5,n_p_2+n_p_8,265,"[2, 4, 9]","[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_6,n_p_2-n_p_0,266,"[1, 2, 4, 9]","[3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_6,n_p_1-n_p_0,267,"[3, 4, 9]","[1, 2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,268,"[1, 3, 4, 9]","[2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,269,"[2, 3, 4, 9]","[1, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_1,n_p_0-n_p_2,270,"[1, 2, 3, 4, 9]","[5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
6.020599913,n_x_0-n_x_6,n_p_1-n_p_25,263,"[4, 9]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6,n_p_4+n_p_0+n_p_7,272,"[1, 5, 9]","[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_8+n_x_7,n_p_6-n_p_0,273,"[2, 5, 9]","[1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_6-n_p_0,274,"[1, 2, 5, 9]","[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.881801714,n_x_0-n_x_1-n_x_11+n_x_2-n_x_12+n_x_6,n_p_8-n_p_0-n_p_5-n_p_7+n_p_20,275,"[3, 5, 9]","[1, 2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
